tld,cnt
com,75887
gov.ua,32112
com.ua,16828
gov.md,12089
gov.uk,11041
gov.tw,9924
org,6839
co.uk,5729
gob.es,5069
gov.it,4931
net,4501
gouv.fr,4422
gov.pl,4366
kiev.ua,3503
cat,3082
com.pl,3060
co.il,2926
org.uk,2880
gv.at,2857
gal,2821
aero,2674
gov.cz,2615
orlen.pl,2511
credit-agricole.ua,2458
admin.ch,2249
gov.il,2149
gov.lv,1984
europa.eu,1981
presedinte.md,1971
co.jp,1917
net.ua,1902
bund.de,1895
edf.fr,1848
traficom.fi,1840
eus,1835
gov.au,1808
int,1738
sumy.ua,1721
com.tw,1713
zp.ua,1609
moldova.md,1563
odessa.ua,1450
legis.md,1445
go.kr,1443
od.ua,1401
tascombank.ua,1391
brussels,1372
fgov.be,1372
kyiv.ua,1347
bde.es,1315
waw.pl,1242
bvg.de,1228
gov.ro,1223
qc.ca,1219
gc.ca,1199
bundeswehr.de,1193
dpp.cz,1165
or.jp,1148
info,1147
army.cz,1134
kommune.no,1101
incibe.es,1080
op.fi,1040
bundesregierung.de,1038
mps.it,1024
belgium.be,1021
trieste.it,1012
bayern.de,1006
govt.nz,989
mvg.de,963
arbitration.fi,943
sienamobilita.it,927
difesa.it,915
dp.ua,902
oebb.at,900
iliad.it,896
cni.es,896
enercoop.fr,884
go.jp,877
parlament.md,873
policie.cz,870
pse.cz,867
ao.it,865
ov-chipkaart.nl,853
vgn.de,852
energia.fi,841
muenchen.de,832
mvcr.cz,830
rb.cz,823
autostrada-a2.pl,817
ansa.it,816
kauppakamari.fi,810
bancaditalia.it,805
kyberturvallisuuskeskus.fi,780
unexbank.ua,779
mtb.ua,771
canaldeisabelsegunda.es,760
mpay.pl,756
kharkov.ua,750
moviatrafik.dk,733
taranto.it,733
genova.it,726
to.it,720
bayernlb.de,718
pgnig.pl,713
rmv.de,705
vero.fi,703
suomenpankki.fi,701
hel.fi,697
mae.ro,690
ltglink.lt,689
vayla.fi,688
pa.it,685
ctmcagliari.it,681
government.bg,681
gouvernement.lu,680
czechtrade.cz,675
rostock.de,670
agcm.it,670
gvb.nl,661
bundespraesident.de,659
anasf.it,650
org.il,647
sinfomar.it,643
roma.it,630
erzeszow.pl,630
metromadrid.es,620
radioroks.ua,614
policia.es,608
bremen.de,589
mfcr.cz,583
bzst.de,582
liberec.cz,580
consob.it,580
senat.cz,570
dortmund.de,570
narp.ua,564
lrv.lt,557
kissfm.ua,554
berlin.de,553
bcr.md,552
vasttrafik.se,552
assosim.it,548
bundestag.de,548
lviv.ua,547
parcan.es,546
tek.fi,544
darmstadt.de,544
murcia.es,543
csob.cz,541
metrovalencia.es,540
bite.lt,540
sts.ro,540
anm.it,538
bordeaux.fr,533
public.lu,533
org.pl,532
pocztowy.pl,528
brandenburg.de,528
deviro.ua,520
autobusustotis.lt,513
erc.ua,513
aecid.es,512
portgdansk.pl,512
ztr.ua,512
bielefeld.de,510
ibercaja.es,509
ollex.lt,509
org.ua,507
bundesfinanzministerium.de,504
te.ua,502
group,501
lg.jp,497
bmz.de,496
a4go.pl,491
dekamer.be,490
psp.cz,490
com.au,482
sachsen-anhalt.de,482
asturias.es,480
paaomasijoittajat.fi,479
berlin,478
ldz.lv,478
avmspa.it,478
cn.ua,476
neobus.pl,475
muni.il,474
normandie.fr,472
trentinotrasporti.it,470
metromalaga.es,470
vvs.de,470
government.nl,469
alphabank.ro,469
gkpge.pl,466
briz.ua,464
taipei,463
danskebank.fi,462
olbiagolfoaranci.it,462
bvb.ro,462
org.tw,461
giorgiameloni.it,461
nordwestbahn.de,450
cecl.gr,448
forsvarsmakten.se,446
cert.dk,446
kvt.lt,440
adrem.lt,440
asambleamadrid.es,439
porvoo.fi,437
ancona.it,436
saeima.lv,435
poznan.pl,433
montpellier.fr,431
klaipedatransport.lt,425
bundeskanzler.de,424
in.ua,422
haspa.de,422
fgdb.ro,420
expressbus.fi,412
senaat.be,412
ek.fi,412
koleo.pl,410
nlbus.lt,409
cgates.lt,409
camaramadrid.es,407
hessen.de,407
monarchie.be,406
energa.pl,405
veidas.lt,404
skulteport.lv,403
a-bike.nl,400
handelsbanken.fi,399
ahushamn.se,399
european-transfers.cz,397
eleagol.it,397
nbb.be,396
bergamo.it,395
senat.fr,395
jura.lt,393
canada.ca,392
sl.se,391
baneasa-airport.ro,390
pks.pl,390
bmwk.de,390
bundesverfassungsgericht.de,390
lelystadairport.nl,388
orange.es,387
graz.at,384
eviesiejipirkimai.lt,384
lehavre.fr,384
pkp.pl,382
9292.nl,380
auswaertiges-amt.de,379
compensa.lt,378
bnro.ro,377
port-varna.bg,376
camera-arbitrale.it,375
swm.de,375
corriere.it,374
vrr.de,374
sbahn-hannover.de,374
mdv.de,374
pumb.ua,374
kb.cz,372
sav.lt,372
oepm.es,371
if.lt,370
kdpcr.cz,370
bsag.de,370
hvv.de,369
nbp.pl,366
flotis.pl,364
poste.it,364
orange.ro,364
vor.at,363
zoll.de,363
aena.es,360
chamber.fi,360
sparkasse.de,360
frankfurt.de,360
cdep.ro,360
pmdp.cz,359
csdd.lv,358
maa.nl,358
vv.lt,357
mapn.ro,357
poznanairport.pl,352
pkspolonus.pl,351
stuttgart.de,350
vlada.cz,350
aedificiumbpl.ro,348
bmj.de,348
modell-hubschrauber.at,346
unicajabanco.es,345
federation-wallonie-bruxelles.be,345
industrialbank.ua,344
skm.dk,342
riksdagen.se,338
its-knihovna.cz,336
metrorex.ro,336
lietuvoskeliai.lt,336
toledo.es,333
port-burgas.bg,332
dpo.cz,330
nor-way.no,330
dresden.de,330
caa.cz,330
csas.cz,328
avanza.se,326
gdynia.pl,326
ssvoy.fi,325
bta.lt,325
presidency.ro,325
premier.be,324
zeebruggeport.be,323
gpw.pl,322
asambleamurcia.es,320
bundespolizei.de,320
metropolitanogranada.es,320
sparing-vist.ua,320
ely-keskus.fi,320
movistar.es,318
luminor.lt,317
imy.se,316
caixabank.es,316
arbitrazas.lt,315
senat.ro,315
wienerborse.at,313
ukrjet.ua,312
tribunalconstitucional.es,312
banque-france.fr,312
mzv.cz,312
csm.it,312
frydekmistek.cz,312
sachsen.de,311
portofhanko.fi,311
duesseldorf.de,310
minoan.gr,310
eezy.fi,310
nuernberg.de,310
apc.es,309
bahn.de,309
nouvelle-aquitaine.fr,308
verfassungsschutz.de,308
eximbank.ro,308
cert.be,308
init.lt,307
nports.de,306
bundesarbeitsgericht.de,306
portpolice.pl,306
handelsbanken.se,305
vilnius-airport.lt,304
cortsvalencianes.es,304
amec.es,303
milano.it,302
seb.se,302
palmasport.es,302
rzp.cz,302
thueringen.de,301
lvat.lt,300
aktia.fi,300
